1659350880000.0,-0.174
1659374700000.0,-0.344
1659406500000.0,-0.356
1659407880000.0,-0.206
1659409320000.0,-0.456
1659468480000.0,-0.306
1659487620000.0,-0.477
1659488880000.0,-0.326
1659566580000.0,-0.497
1659568080000.0,-0.679
1659570900000.0,-0.692
1659572460000.0,-0.542
1659594660000.0,-0.792
1659633300000.0,-0.746
1659704460000.0,-0.596
1659806160000.0,-0.446
1659829500000.0,-0.437
1659835500000.0,-0.369
1659912900000.0,-0.449
1659915300000.0,-0.522
1660027800000.0,-0.574
1660038600000.0,-0.557
1660040700000.0,-0.475
1660055640000.0,-0.325
1660092000000.0,-0.575
1660100040000.0,-0.425
1660158240000.0,-0.275
1660205700000.0,-0.242
1660260900000.0,-0.206
1660264080000.0,-0.056
1660303200000.0,-0.088
1660420500000.0,-0.079
1660432500000.0,-0.099
1660437120000.0,0.051
1660478700000.0,-0.015
1660480500000.0,-0.038
1660483500000.0,-0.208
1660487400000.0,-0.233
1660496280000.0,-0.403
1660544640000.0,-0.573
1660546260000.0,-0.743
1660604880000.0,-0.918
1660620480000.0,-0.768
1660659660000.0,-0.618
1660721880000.0,-0.788
1660732800000.0,-0.821
1660738680000.0,-1.013
1660739880000.0,-0.863
1660744260000.0,-1.113
1660842540000.0,-0.963
1660864740000.0,-1.213
1660874880000.0,-1.063
1660891020000.0,-1.313
1660909500000.0,-1.163
1660936500000.0,-1.013
1660947120000.0,-0.863
1661022540000.0,-1.033
1661142600000.0,-1.051
1661151900000.0,-1.064
1661156640000.0,-1.234
1661194980000.0,-1.084
1661233080000.0,-1.254
1661235600000.0,-1.253
1661303100000.0,-1.199
1661306520000.0,-1.049
1661326800000.0,-0.899
1661349600000.0,-0.847
1661386200000.0,-0.765
1661400300000.0,-0.738
1661426700000.0,-0.627
1661442600000.0,-0.477
1661470200000.0,-0.357
1661473380000.0,-0.207
1661493000000.0,-0.29
1661499300000.0,-0.153
1661513700000.0,-0.128
1661526360000.0,0.022
1661538600000.0,-0.033
1661554080000.0,0.117
1661556780000.0,-0.053
1661577420000.0,0.097
1661618520000.0,0.247
1661697420000.0,0.397
1661725800000.0,0.367
1661730600000.0,0.197
1661731260000.0,0.347
1661864400000.0,0.437
1661869920000.0,0.267
1661871900000.0,0.197
1661874000000.0,0.268
1661879400000.0,0.315
1661959800000.0,0.365
1661969220000.0,0.515
1661990400000.0,0.608
1661993760000.0,0.758
1662019200000.0,0.835
1662043200000.0,0.862
1662141000000.0,0.76
1662143100000.0,0.778
1662148800000.0,0.889
1662192900000.0,0.932
1662233580000.0,1.082
1662275100000.0,1.113
1662279900000.0,1.097
1662300840000.0,1.247
1662357600000.0,1.312
1662365100000.0,1.315
1662484260000.0,1.065
1662486180000.0,0.895
1662490800000.0,0.725
1662494400000.0,0.701
1662494940000.0,0.451
1662518700000.0,0.601
1662622200000.0,0.431
1662644100000.0,0.503
1662796860000.0,0.653
1662819300000.0,0.674
1662878340000.0,0.504
1662933780000.0,0.654
1662946020000.0,0.804
1662998580000.0,0.634
1663002900000.0,0.747
1663019400000.0,0.766
1663029900000.0,0.916
1663073340000.0,0.746
1663076700000.0,0.689
